Driver,Sex,Age,car 1,car 2,car 3,car 4,car 5,car 6,car 7,car 8,car 9,car 10,Favorite Color
Yes,Male,24-29,15000,22000,16000,8000,12000,9000,12000,5000,6000,20000,Black
Yes,Male,30-35,9000,25000,28000,8000,7500,17000,13000,7000,8000,35000,Red
Yes,Male,18-23,12000,45000,23000,14500,17000,9700,18000,5400,6700,35000,Black
Yes,Female,18-23,9000,17000,18500,7500,8000,10000,17000,6000,7000,10500,Black
Yes,Female,18-23,14000,25000,20000,12000,13000,17000,19000,10000,12000,30000,None
No,Female,18-23,9000,11000,20000,4000,4500,8000,11000,3500,4000,12000,Black
Yes,Male,24-29,25000,60000,35000,13000,18000,20000,30000,6000,15000,30000,Gray
No,Female,18-23,20000,23000,27000,9000,11000,14000,35000,7000,9000,40000,Red
Yes,Male,24-29,8000,20000,18000,17000,14000,9000,14000,6000,7000,24000,None
Yes,Male,24-29,12000,40000,35000,12000,22000,18000,25000,10000,10000,22000,Gray
No,Male,24-29,12000,28000,25000,9000,11500,10500,12000,4000,4700,10000,Black
Yes,Male,30-35,12000,35000,38000,7500,9000,9700,15000,6500,8000,24000,Black
No,Male,30-35,13000,24000,19000,16000,16000,12000,14000,6000,6000,30000,Black
No,Female,18-23,20000,25000,25000,21000,19000,16000,25000,9000,10000,15000,None
Yes,Male,24-29,9000,35000,16000,15000,22000,8000,20000,4500,5500,2000,Black
No,Female,24-29,10000,27000,18000,8000,14000,7500,18000,6500,9000,22000,Gray
No,Female,24-29,9000,35000,20000,12000,12000,15000,17000,9000,9000,20000,Gray
No,Female,30-35,12000,40000,27000,12000,17000,12000,15000,5000,5000,15000,Black
Yes,Male,>35,15000,27000,20000,20000,18000,10000,22000,7000,8000,18000,Black
No,Female,24-29,20000,50000,10000,8000,10000,10000,12000,3000,4000,25000,None
Yes,Female,30-35,10000,35000,20000,15000,18000,12000,14000,8000,9000,19000,Gray
Yes,Male,18-23,9000,35000,40000,14500,16000,16000,16000,6500,9000,40000,None
Yes,Male,18-23,7000,20000,30000,17000,15000,10000,16000,4000,4100,30000,Red
Yes,Male,>35,3000,10000,7000,1000,5000,4000,6000,2000,30000,4000,Black
Yes,Male,18-23,10000,50000,23000,14000,15000,11000,18000,6500,7000,30000,Black
No,Female,>35,10000,22000,19000,15000,17000,26000,16000,14000,28000,18500,Red
Yes,Female,24-29,8000,60000,70000,30000,15000,12000,35000,5000,4000,80000,Red
Yes,Male,24-29,9000,17500,22000,6500,12000,13000,13500,5500,8000,19000,Black
Yes,Female,18-23,7000,10000,11000,9000,11000,11000,9000,5000,7000,15000,Red
Yes,Male,24-29,10000,30000,22000,9000,12000,10000,20000,5000,6000,25000,None
No,Female,30-35,10000,35000,9000,18000,15000,7000,13000,4500,6000,19000,None
Yes,Male,18-23,8000,30000,18000,16000,18000,7000,16000,5500,6500,28000,Black
No,Female,18-23,25000,65000,22000,23000,24000,27000,29000,14000,15000,32000,Gray
No,Female,18-23,13000,15000,16000,10000,11000,10000,13000,6000,6000,15000,Gray
No,Male,24-29,13000,26000,16000,8000,9000,11000,13000,6000,6000,17000,Black
No,Female,24-29,15000,35000,45000,8000,10000,10000,20000,6000,7000,30000,Black
No,Female,30-35,7000,15000,8000,6000,10000,8000,9000,7000,10000,6000,None
Yes,Male,30-35,8500,35000,25000,7000,75000,9500,10500,4500,6500,40000,Black
No,Male,18-23,5500,8000,7600,7000,7000,5000,5000,4900,5000,10000,Red
No,Female,24-29,6000,16000,21000,8000,9000,7000,8000,7000,8000,17000,Black
No,Female,24-29,9000,40000,40000,9000,10000,13000,13000,8000,9000,25000,Black
Yes,Male,30-35,12500,22000,32000,11000,12900,19000,28000,5000,5500,7000,Gray
Yes,Male,30-35,10500,30000,25000,20000,40000,14500,20000,7500,9000,45000,Gray
Yes,Male,24-29,14000,40000,35000,25000,14500,17000,23000,5500,5500,35000,Black
Yes,Female,24-29,25000,20000,30000,12000,10000,17000,15000,6000,7000,13000,Black
Yes,Male,24-29,8000,30000,15000,12000,18000,10000,20000,5000,5000,25000,Gray
Yes,Male,18-23,7000,25000,28000,4000,70000,8500,8500,5000,5000,25000,Black
Yes,Male,24-29,9000,25000,22000,10000,16000,15000,17000,7000,7000,17000,None
Yes,Male,18-23,9000,40000,26000,8000,10000,8000,15000,7000,7000,25000,Gray
Yes,Male,18-23,7500,50000,18500,12000,23000,9000,35000,7500,8000,42000,Black
Yes,Male,18-23,8000,50000,21000,6000,18000,9000,15000,5500,6700,40000,Black
No,Female,30-35,6000,8000,15000,8000,10000,14000,25000,7000,8000,20000,Red
Yes,Male,24-29,9000,40000,28000,12000,14000,15000,13000,6000,7000,20000,Black
Yes,Male,18-23,11000,38000,18000,11000,13500,16000,14000,5500,6500,45000,Gray
No,Male,18-23,7800,43000,18600,6700,9600,8300,16300,4900,6300,44000,Gray
No,Female,30-35,30000,10000,20000,6000,7000,8000,16000,8000,10000,6000,Black
No,Female,30-35,15000,35000,70000,12000,12000,9000,20000,10000,10000,20000,Black
Yes,Male,24-29,13000,22000,38000,7000,13000,15000,17000,7000,7000,15000,Black
Yes,Male,24-29,7500,35000,25000,22000,28000,12000,35000,8500,11000,30000,Black
Yes,Male,30-35,8000,40000,20000,14000,15000,13000,18000,7000,8000,30000,Black
No,Female,30-35,7000,20000,30000,5000,5000,12000,12000,10000,8000,20000,Black
Yes,Male,30-35,7500,20000,16000,9000,13000,10000,12000,4500,5500,18000,Gray
No,Male,>35,12000,50000,15000,14000,23000,18000,22000,8000,7509,20000,Black
No,Male,18-23,12000,50000,18000,14000,16000,10000,19000,7500,9000,23000,Black
No,Male,24-29,6000,18000,15000,10000,15000,7000,9000,6000,6000,18000,None
Yes,Male,30-35,8000,30000,15000,8000,15000,8000,15000,5000,6000,30000,None
No,Female,30-35,7000,30000,15000,3000,7000,8000,15000,3000,5000,10000,Gray
No,Female,18-23,10000,35000,20000,7000,8000,10000,10000,5000,7000,10000,Black
No,Male,24-29,8000,18000,15000,10000,12000,9000,13000,7500,7500,12000,Gray
No,Male,30-35,7000,25000,20000,10000,14000,15000,20000,5500,7000,50000,Gray
Yes,Male,30-35,11000,85000,26000,10000,24000,18000,29000,8000,8000,56000,Gray
No,Female,18-23,6000,10000,11000,5500,6000,7200,8500,5000,6400,12000,Black
Yes,Male,>35,10000,55000,25000,12000,40000,2500,25000,8000,8000,20000,None
No,Female,30-35,10000,20000,20000,15000,15000,13000,15000,13000,12000,20000,Red
Yes,Male,18-23,12000,20000,18000,17000,18000,10000,20000,6000,7500,30000,Black
Yes,Male,30-35,8000,45000,25000,16000,23000,9000,18000,5000,6500,30000,None
No,Male,24-29,13000,45000,30000,9000,11000,15000,20000,6000,8000,20000,Black
Yes,Male,24-29,25000,30000,45000,9000,11000,22000,30000,6000,9000,40000,Black
Yes,Male,24-29,7000,40000,20000,13000,14000,8000,18000,6000,7000,35000,Black
Yes,Male,24-29,9000,30000,25000,12000,15000,10000,15000,6000,8000,30000,Gray
Yes,Male,24-29,9000,21000,18000,12000,15000,17000,20000,5000,6000,32000,Gray
Yes,Male,24-29,10000,25000,50000,12000,10000,13000,15000,5000,6000,18000,Black
Yes,Male,30-35,8000,24000,17000,7000,8000,7500,16000,5500,6500,25000,None
Yes,Male,>35,15000,35000,24000,18000,18000,22000,17000,15000,16000,20000,Gray
Yes,Male,18-23,8000,20000,25000,10000,12000,12000,15000,6000,7000,18000,Gray
Yes,Male,30-35,9500,44000,12000,13000,19000,7000,13000,5500,6700,35000,Red
Yes,Male,18-23,8000,35000,16000,14000,24000,7500,35000,5400,6000,23000,Red
Yes,Male,30-35,9000,15000,20000,6500,8000,15000,19000,6000,6000,30000,Red
No,Female,18-23,10000,15000,13000,9000,10000,11000,12000,5000,9000,15000,Black
No,Female,24-29,8000,50000,18000,8000,16000,10000,13000,6000,6000,35000,Black
Yes,Male,18-23,14000,30000,30000,9000,11000,14000,18000,7500,6000,18000,Gray
Yes,Female,30-35,4000,15000,20000,4000,10000,15000,25000,4000,6000,15000,Gray
No,Female,24-29,8000,35000,15000,10000,25000,7500,15000,5500,7000,25000,Black
Yes,Male,30-35,8000,18000,12000,15000,17000,9000,10000,6000,6000,21000,Black
Yes,Male,24-29,10000,20000,20000,6000,7000,7000,15000,6000,6000,14000,Black
Yes,Male,30-35,7000,60000,65000,15000,15000,35000,42000,8000,9000,45000,None
Yes,Male,>35,11000,35000,22000,9500,15500,13500,15500,6700,8100,27000,Black
Yes,Male,24-29,18000,35000,25000,15000,25000,22000,27000,8000,12000,25000,Black
No,Female,>35,15000,25000,30000,10000,8000,20000,25000,6000,7000,25000,Black
Yes,Male,>35,8000,15000,20000,5000,10000,8000,14000,4800,5700,30000,Gray
Yes,Male,24-29,10000,20000,22000,17000,18000,10000,15000,7000,8000,25000,Gray
Yes,Female,24-29,20000,20000,25000,10000,15000,18000,15000,10000,10000,20000,None
No,Female,24-29,10000,21000,15000,8000,11000,7000,13000,6000,7000,15000,Gray
Yes,Male,>35,15000,20000,40000,6000,11000,16000,17000,5000,6000,30000,Black
Yes,Female,30-35,11000,13000,17000,13000,11500,15000,15000,7500,8500,26000,Black
Yes,Male,30-35,10000,70000,18000,11000,25000,11000,14000,7000,8000,20000,Black
Yes,Male,30-35,8000,9000,11000,5000,8000,5000,9000,4000,4000,9000,None
Yes,Male,30-35,8000,40000,13000,11000,20000,8000,12000,6000,7000,30000,Black
Yes,Female,>35,8000,10000,10000,5000,5000,6000,8000,2000,3000,10000,Black
Yes,Female,30-35,7000,50000,20000,8000,15000,15000,18000,7000,7000,20000,Black
No,Female,30-35,15000,25000,10000,8000,7000,15000,12000,5000,6000,10000,Gray
Yes,Male,30-35,12000,45000,40000,12000,16000,12000,16000,6000,6000,32000,Black
